name,enabled,n_phases,n_conds,base_freq,terminal1,terminal2,length,units,line_code,geometry
mdv201_99422fuse,true,1,1,60,6584.1,99422.1,0.001524,km,,1ph-busbarnonenonebusbar
mdv201_hn_2_140_abc8124,true,3,3,60,8113,8124,0.064312798,km,,3ph_horiz_lg_1c-cu_#2_7strcu_#2_7strcu_#2_7stracsr_1/0_6/1
mdv201_hn_2_818_abc63707,true,3,3,60,14880,63707,0.058826398,km,,3ph_horiz_lg_1c-al_4/0_7stral_4/0_7stral_4/0_7stracsr_1/0_6/1
mdv201_da_8_731_c74450,true,1,1,60,74449.3,74450.3,0.047243998,km,,1ph-nonenoneal_#2_7stracsr_1/0_6/1
mdv201_100494fuse,true,1,1,60,14989.2,100494.2,0.001524,km,,1ph-nonebusbarnonebusbar
mdv201_107110fuse,true,2,2,60,63683.1.3,107110.1.3,0.001524,km,,2ph_horiz_lg_1c-busbarnonebusbarbusbar
mdv201_hn_2_477_c8121,true,1,1,60,1144242.3,8121.3,0.049682398,km,,1ph-nonenoneal_#2_7stracsr_1/0_6/1
mdv201_hn_2_876_c63671,true,1,1,60,63668.3,63671.3,0.046939198,km,,1ph-nonenoneal_1/0_7stracsr_1/0_6/1
mdv201_hn_2_671_c89781,true,1,1,60,89784.3,89781.3,0.052730398,km,,1ph-nonenoneal_1/0_7stracsr_1/0_6/1
mdv201_da_8_930_a39751,true,1,1,60,39734.1,39751.1,0.068579998,km,,1ph-al_1/0_7strnonenoneacsr_1/0_6/1
mdv201_hn_2_394_abc63658,true,3,3,60,63657,63658,0.038099999,km,,3ph_vert_1c-al_556_19stral_556_19stral_556_19stracsr_1/0_6/1
mdv201_da_8_687_b74448,true,1,1,60,74445.2,74448.2,0.044805599,km,,1ph-noneal_#2_7strnoneacsr_1/0_6/1
mdv201_1012643fuse,true,1,1,60,1012641.3,1012643.3,0.001524,km,,1ph-nonenonebusbarbusbar
mdv201_hn_1_238_a39569,true,1,1,60,39570.1,39569.1,0.065227198,km,,1ph-al_#2_7strnonenoneacsr_1/0_6/1
mdv201_14869fuse,true,1,1,60,14858.1,14869.1,0.001524,km,,1ph-busbarnonenonebusbar
mdv201_hn_1_156_c89790,true,1,1,60,89796.3,89790.3,0.091439997,km,,1ph-nonenoneal_1/0_7stracsr_1/0_6/1
mdv201_hn_2_318_c28272,true,1,1,60,28271.3,28272.3,0.070103998,km,,1ph-nonenoneal_#2_7stracsr_1/0_6/1
mdv201_c_1_140_abc69477,true,3,3,60,69478,69477,0.1078992,km,,3ph_vert_1c-al_556_19stral_556_19stral_556_19stracsr_1/0_6/1
mdv201_hn_2_948_c8176,true,1,1,60,8175.3,8176.3,0.046634399,km,,1ph-nonenoneal_1/0_7stracsr_1/0_6/1
mdv201_1144230fuse,true,1,1,60,8184.1,1144230.1,0.001524,km,,1ph-busbarnonenonebusbar
mdv201_hn_2_105_abc39582,true,3,3,60,39595,39582,0.082600797,km,,3ph_horiz_lg_1c-al_1/0_7stral_1/0_7stral_1/0_7stracsr_1/0_6/1
mdv201_da_8_691_b46386,true,1,1,60,46385.2,46386.2,0.042671999,km,,1ph-noneal_#2_7strnoneacsr_1/0_6/1
mdv201_hn_2_457_c62244,true,1,1,60,106884.3,62244.3,0.030784799,km,,1ph-nonenoneal_1/0_7stracsr_1/0_6/1
c_1p038_sw,true,1,1,60,1160493.1,mdv201_8075elb_int.1,0.001,km,,
mdv201_8075elb,true,1,1,60,mdv201_8075elb_int.1,8075.1,0.001524,km,busbar,
c_1p032_sw,true,1,1,60,69460.1,mdv201_107997elb_int.1,0.001,km,,
mdv201_107997elb,true,1,1,60,mdv201_107997elb_int.1,107997.1,0.001524,km,busbar,
mdv201_hn_2_949_c8180,true,1,1,60,8176.3,8180.3,0.021031199,km,,1ph-nonenoneal_1/0_7stracsr_1/0_6/1
mdv201_c_1p024_a8100,true,1,1,60,1160461.1,8100.1,0.1237488,km,ug_1/0al,
mdv201_hn_2_166_c33824,true,1,1,60,39776.3,33824.3,0.066751198,km,,1ph-nonenonecu_#6_1stracsr_1/0_6/1
mdv201_hn_2_827_a14873,true,1,1,60,1140227.1,14873.1,0.040843199,km,,1ph-al_#2_7strnonenoneacsr_1/0_6/1
hn_2p017_sw,true,1,1,60,1160488.2,mdv201_62249elb_int.2,0.001,km,,
mdv201_62249elb,true,1,1,60,mdv201_62249elb_int.2,62249.2,0.001524,km,busbar,
mdv201_hn_2_397_b63634,true,1,1,60,107106.2,63634.2,0.052120798,km,,1ph-noneal_#2_7strnoneacsr_1/0_6/1
mdv201_c_1p037_a1160467,true,1,1,60,1160494.1,1160467.1,0.041452799,km,ug_1/0al,
mdv201_hn_2_280_a8185,true,1,1,60,1144230.1,8185.1,0.042367199,km,,1ph-cu_#6_1strnonenoneacsr_1/0_6/1
mdv201_hn_2_794_abc791,true,3,3,60,796,791,0.059740798,km,,3ph_horiz_lg_1c-al_556_19stral_556_19stral_556_19stracsr_1/0_6/1
mdv201_hn_2_677_c62303,true,1,1,60,62306.3,62303.3,0.059740798,km,,1ph-nonenoneal_1/0_7stracsr_1/0_6/1
mdv201_100478fuse,true,1,1,60,14839.3,100478.3,0.001524,km,,1ph-nonenonebusbarbusbar
mdv201_hn_2_115_abc58446,true,3,3,60,58441,58446,0.043586399,km,,3ph_horiz_lg_1c-al_1/0_7stral_1/0_7stral_1/0_7stracsr_1/0_6/1
