name,enabled,n_phases,n_conds,base_freq,terminal1,kv,kw,kvar,kva,pf,model,vmin_pu,vmax_pu,r_neut,x_neut,connection,spec_type,status,yearly,daily,duty,spectrum
mdv201_hn_2_153_b14829-1b1,true,1,2,60,x_14829_2.2,0.24,4.203591,1.60586333333333,4.499886036404193,0.93415499103596,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_153_b14829-1b2,true,1,2,60,x_14829_3.2,0.24,4.203591,1.60586333333333,4.499886036404193,0.93415499103596,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_288_c63719-1c0,true,1,2,60,x_63719_1.3,0.24,3.321997,1.312628000000005,3.571926137869177,0.930029589576488,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Commercial_SM,,,defaultload
mdv201_hn_2_288_c63719-1c1,true,1,2,60,x_63719_2.3,0.24,3.321997,1.312628000000005,3.571926137869177,0.930029589576488,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Commercial_SM,,,defaultload
mdv201_hn_2_288_c63719-1c2,true,1,2,60,x_63719_3.3,0.24,3.321997,1.312628000000005,3.571926137869177,0.930029589576488,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Commercial_SM,,,defaultload
mdv201_hn_2_288_c63719-1c3,true,1,2,60,x_63719_4.3,0.24,3.321997,1.312628000000005,3.571926137869177,0.930029589576488,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Commercial_SM,,,defaultload
mdv201_hn_2_288_c63719-1c4,true,1,2,60,x_63719_5.3,0.24,3.321997,1.312628000000005,3.571926137869177,0.930029589576488,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Commercial_SM,,,defaultload
mdv201_da_8_696_b46388-1b0,true,1,2,60,x_46388_1.2,0.24,4.6298435,1.768701000000003,4.956183416893816,0.934154996003287,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_da_8_696_b46388-1b1,true,1,2,60,x_46388_2.2,0.24,4.6298435,1.768701000000003,4.956183416893816,0.934154996003287,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_da_8_696_b46388-1b2,true,1,2,60,x_46388_3.2,0.24,4.6298435,1.768701000000003,4.956183416893816,0.934154996003287,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_da_8_696_b46388-1b3,true,1,2,60,x_46388_4.2,0.24,4.6298435,1.768701000000003,4.956183416893816,0.934154996003287,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_423_a785-1a0,true,1,2,60,x_785_1.1,0.24,4.187027,1.740738999999997,4.534464396690086,0.923378514793567,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_805_b39624-1b0,true,1,2,60,x_39624_1.2,0.24,6.037608,2.306497750000001,6.463175862717883,0.934154992567551,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_805_b39624-1b1,true,1,2,60,x_39624_2.2,0.24,6.037608,2.306497750000001,6.463175862717883,0.934154992567551,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_805_b39624-1b2,true,1,2,60,x_39624_3.2,0.24,6.037608,2.306497750000001,6.463175862717883,0.934154992567551,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_805_b39624-1b3,true,1,2,60,x_39624_4.2,0.24,6.037608,2.306497750000001,6.463175862717883,0.934154992567551,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_640_ac28251-1a0,true,1,2,60,x_28251_1.1,0.24,4.686378,1.948342500000004,5.075251447582698,0.923378486445649,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_640_ac28251-1a1,true,1,2,60,x_28251_2.1,0.24,4.686378,1.948342500000004,5.075251447582698,0.923378486445649,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_110_abc94729-1c0,true,1,2,60,x_94729_1.3,0.24,1.229822,0.485942,1.322347072083574,0.930029661624474,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_127_c63708-1c0,true,1,2,60,x_63708_1.3,0.24,7.99279,3.158208999999992,8.594124508743223,0.930029579146607,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_531_c857-1c0,true,1,2,60,x_857_1.3,0.24,3.7733185,1.49095975,4.057202666685793,0.930029581953891,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_531_c857-1c1,true,1,2,60,x_857_2.3,0.24,3.7733185,1.49095975,4.057202666685793,0.930029581953891,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_531_c857-1c2,true,1,2,60,x_857_3.3,0.24,3.7733185,1.49095975,4.057202666685793,0.930029581953891,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_531_c857-1c3,true,1,2,60,x_857_4.3,0.24,3.7733185,1.49095975,4.057202666685793,0.930029581953891,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_c_1_068_abc69490-1b0,true,1,2,60,x_69490_1.2,0.24,3.359309,1.283328999999996,3.596093752910509,0.934155011192668,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_400_b63637-1b0,true,1,2,60,x_63637_1.2,0.24,6.61856566666667,2.52843633333334,7.085083046492748,0.934154987772936,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
